217.118.239.0/24,3017382,3017382,,0,0,,48.8582,2.3387,500,
217.118.240.0/20,3169070,3175395,,0,0,00149,41.8905,12.5127,200,
217.119.0.0/20,2747891,2750405,,0,0,3038,51.9370,4.4602,5,
217.119.16.0/20,2017370,2017370,,0,0,,55.7386,37.6068,1000,
217.119.32.0/20,658225,660013,,0,0,00771,60.1719,24.9347,5,
217.119.48.0/20,2921044,2921044,,0,0,,51.2993,9.4910,200,
217.119.64.0/20,798544,798544,,0,0,,52.2394,21.0362,200,
217.119.80.0/20,2017370,2017370,,0,0,,55.7386,37.6068,1000,
217.119.96.0/20,1819730,1819730,,0,0,,22.2578,114.1657,1000,
217.119.112.0/23,724377,3057568,,0,0,"053 42",48.9122,20.8735,50,
217.119.114.0/24,723554,3057568,,0,0,"073 01",48.7442,22.1820,20,
217.119.115.0/24,3059101,3057568,,0,0,"934 01",48.2157,18.6045,5,
217.119.116.0/22,724377,3057568,,0,0,"053 42",48.9122,20.8735,10,
217.119.120.0/22,3058477,3057568,,0,0,"915 01",48.7575,17.8270,5,
217.119.124.0/23,725038,3057568,,0,0,"044 73",48.5353,21.0739,20,
217.119.126.0/23,3057174,3057568,,0,0,"955 01",48.5577,18.1600,5,
217.119.128.0/24,2635167,2635167,,0,0,,51.4964,-0.1224,200,
217.119.129.0/24,2925533,458258,,0,0,60313,50.1169,8.6837,20,
217.119.130.0/24,241170,241170,,0,0,,-4.5833,55.6667,1000,
217.119.131.0/24,5104504,2750405,,0,0,07094,40.7876,-74.0600,20,
217.119.132.0/24,2759794,2750405,,0,0,1098,52.3520,4.9392,20,
217.119.133.0/24,2193733,2750405,,0,0,1010,-36.8504,174.7675,20,
217.119.134.0/24,298795,298795,,0,0,,41.0214,28.9948,500,
217.119.135.0/24,4407066,2750405,,0,0,63150,38.6287,-90.1988,20,
217.119.136.0/24,2802361,2802361,,0,0,,50.8509,4.3447,100,
217.119.137.0/24,2635167,2635167,,0,0,,51.4964,-0.1224,200,
217.119.138.0/24,453733,453733,,0,0,,59.0000,26.0000,100,
217.119.139.0/24,1526273,241170,,0,0,,51.1876,71.4491,20,
217.119.140.0/24,2643743,597427,,0,0,EC4R,51.5164,-0.0930,20,
217.119.141.0/24,2510769,2510769,,0,0,,40.4172,-3.6840,500,
217.119.142.0/24,2995469,2750405,,0,0,13001,43.2951,5.3861,20,
217.119.143.0/24,2750405,2750405,,0,0,,52.3824,4.8995,100,
217.119.144.0/20,2661687,2658434,,0,0,1170,46.4976,6.3937,5,
217.119.160.0/20,2661886,2661886,,0,0,,59.3247,18.0560,500,
217.119.176.0/22,3017382,3017382,,0,0,,48.8582,2.3387,500,
217.119.180.0/23,2988358,3017382,,0,0,,43.3191,-0.3558,20,
217.119.182.0/23,3017382,3017382,,0,0,,48.8582,2.3387,500,
217.119.184.0/21,3036223,3017382,,0,0,78610,48.7024,1.8909,20,
217.119.192.0/19,2921044,2921044,,0,0,,51.2993,9.4910,200,
217.119.224.0/20,2754394,2750405,,0,0,7559,52.2940,6.8035,10,
217.119.240.0/20,6290252,6290252,,0,0,,44.8165,20.4479,1000,
217.120.0.0/24,2754697,2750405,,0,0,1961,52.5126,4.6754,5,
217.120.1.0/24,2751773,2750405,,0,0,2332,52.1609,4.4625,10,
217.120.2.0/23,2755003,2750405,,0,0,2037,52.3564,4.6564,5,
217.120.4.0/23,2751283,2750405,,0,0,6224,50.8519,5.7205,5,
217.120.6.0/24,2749391,2750405,,0,0,8431,52.9913,6.2911,10,
217.120.7.0/24,2748371,2750405,,0,0,8103,52.3936,6.2819,5,
217.120.8.0/22,2747210,2750405,,0,0,4711,51.5512,4.5891,5,
217.120.12.0/23,2746886,2750405,,0,0,4714,51.5348,4.6033,5,
217.120.14.0/23,2744248,2750405,,0,0,3443,52.0881,4.8721,20,
217.120.16.0/23,2759145,2750405,,0,0,4625,51.4781,4.3097,5,
217.120.18.0/23,2752798,2750405,,0,0,7891,52.7268,6.9829,10,
217.120.20.0/24,2754817,2750405,,0,0,8861,53.1755,5.4248,5,
217.120.21.0/24,2753197,2750405,,0,0,8501,52.9642,5.8013,5,
217.120.22.0/23,2745449,2750405,,0,0,8381,52.8525,6.2084,10,
217.120.24.0/22,2746886,2750405,,0,0,4714,51.5348,4.6033,5,
217.120.28.0/23,2746886,2750405,,0,0,4714,51.5348,4.6033,50,
217.120.30.0/24,2751547,2750405,,0,0,2162,52.2469,4.5610,5,
217.120.31.0/24,2745096,2750405,,0,0,2741,52.0448,4.6543,5,
217.120.32.0/23,2745096,2750405,,0,0,2742,52.0400,4.6384,5,
217.120.34.0/24,2744865,2750405,,0,0,5855,51.5600,6.0947,10,
217.120.35.0/24,2759040,2750405,,0,0,5681,51.5187,5.4094,5,
217.120.36.0/23,2758460,2750405,,0,0,5283,51.5884,5.3371,5,
217.120.38.0/23,2757874,2750405,,0,0,5431,51.7285,5.8849,5,
217.120.40.0/23,2756723,2750405,,0,0,5102,51.6359,4.9264,5,
217.120.42.0/23,2756987,2750405,,0,0,7412,52.2686,6.1471,5,
217.120.44.0/24,2756136,2750405,,0,0,7827,52.7485,6.8884,10,
217.120.45.0/24,2756439,2750405,,0,0,8537,52.8708,5.7974,20,
217.120.46.0/24,2759059,2750405,,0,0,5258,51.6759,5.4015,5,
217.120.47.0/24,2756543,2750405,,0,0,5152,51.6860,5.1204,5,
217.120.48.0/23,2748000,2750405,,0,0,6045,51.1798,6.0070,5,
217.120.50.0/23,2750278,2750405,,0,0,1733,52.7444,4.8980,5,
217.120.52.0/22,2755375,2750405,,0,0,1484,52.5593,4.8325,100,
217.120.56.0/22,2757831,2750405,,0,0,7973,52.7768,6.2041,10,
217.120.60.0/23,2746475,2750405,,0,0,9561,52.8767,7.0574,100,
217.120.62.0/23,2747063,2750405,,0,0,8607,53.0171,5.6633,5,
217.120.64.0/22,2753106,2750405,,0,0,8265,52.5457,5.9026,5,
217.120.68.0/23,2758777,2750405,,0,0,8356,52.7262,5.9593,10,
217.120.70.0/24,2743477,2750405,,0,0,8011,52.5130,6.1008,5,
217.120.71.0/24,2755527,2750405,,0,0,9461,53.0012,6.7760,5,
217.120.72.0/24,2752923,2750405,,0,0,6462,50.8566,6.0699,5,
217.120.73.0/24,2751773,2750405,,0,0,2312,52.1559,4.4919,5,
217.120.74.0/24,2756056,2750405,,0,0,6285,50.7722,5.9042,10,
217.120.75.0/24,2751283,2750405,,0,0,6217,50.8569,5.6673,5,
217.120.76.0/24,2759821,2750405,,0,0,3824,52.1994,5.3740,5,
217.120.77.0/24,2748448,2750405,,0,0,4841,51.6006,4.7130,5,
217.120.78.0/23,2751874,2750405,,0,0,1251,52.2568,5.2250,5,
217.120.80.0/28,2751283,2750405,,0,0,6213,50.8411,5.6643,5,
217.120.80.16/29,2751283,2750405,,0,0,6213,50.8411,5.6643,5,
217.120.80.24/32,2748448,2750405,,0,0,4841,51.6006,4.7130,20,
217.120.80.25/32,2751283,2750405,,0,0,6213,50.8411,5.6643,5,
